iter	RMSE
0	14.72070028
1	14.4290376
2	14.14979286
3	13.8724545
4	13.60959048
5	13.35087143
6	13.10668276
7	12.86044445
8	12.62763269
9	12.4061
10	12.18443504
11	11.97640146
12	11.76840035
13	11.57454927
14	11.37651247
15	11.1865895
16	11.00733184
17	10.8328811
18	10.66761164
19	10.50666277
20	10.33978582
21	10.18448421
22	10.02836622
23	9.877520681
24	9.733047374
25	9.604075253
26	9.465747361
27	9.334834997
28	9.213173044
29	9.090651045
30	8.975148854
31	8.854166373
32	8.747762244
33	8.643666686
34	8.539761138
35	8.435018449
36	8.336787897
37	8.24993302
38	8.157348805
39	8.065105802
40	7.982281199
41	7.901594364
42	7.816860033
43	7.737818451
44	7.660949668
45	7.586469604
46	7.516631416
47	7.445437387
48	7.376856586
49	7.311407609
50	7.2482601
51	7.190418844
52	7.127678636
53	7.071793195
54	7.017648618
55	6.961202146
56	6.908652967
57	6.855941736
58	6.805117504
59	6.759490575
60	6.711143134
61	6.667096217
62	6.622310719
63	6.579326713
64	6.539369942
65	6.497103255
66	6.458588209
67	6.422419813
68	6.387297694
69	6.350787171
70	6.317982676
71	6.284672683
72	6.253312773
73	6.222377845
74	6.190989224
75	6.159907656
76	6.131363004
77	6.104834845
78	6.081984861
79	6.058813413
80	6.035471448
81	6.010426198
82	5.989484787
83	5.967289749
84	5.946135766
85	5.926522744
86	5.904398045
87	5.882818951
88	5.86405623
89	5.847590325
90	5.830778605
91	5.813504769
92	5.796421542
93	5.77881693
94	5.762634694
95	5.747228466
96	5.729416624
97	5.712801854
98	5.69817703
99	5.682707164
100	5.668833441
101	5.656031866
102	5.642326895
103	5.630563732
104	5.617197405
105	5.605047441
106	5.594844309
107	5.584726329
108	5.57355623
109	5.564376618
110	5.551908539
111	5.542523792
112	5.530650798
113	5.520815901
114	5.511864665
115	5.503112258
116	5.493109106
117	5.484020386
118	5.476339544
119	5.466877434
120	5.459982527
121	5.451354924
122	5.44231336
123	5.434020126
124	5.425078483
125	5.417400594
126	5.409681942
127	5.402807444
128	5.395614115
129	5.388195495
130	5.381957632
131	5.374816168
132	5.368829785
133	5.359525511
134	5.352076807
135	5.342737524
136	5.336261944
137	5.328826042
138	5.323730986
139	5.319060159
140	5.312651082
141	5.307371547
142	5.300549595
143	5.294947299
144	5.289244703
145	5.283597295
146	5.277759346
147	5.274047378
148	5.268966087
149	5.264206624
150	5.259243996
151	5.25481499
152	5.250916919
153	5.244063642
154	5.237475225
155	5.233754066
156	5.227550684
157	5.222421385
158	5.218136909
159	5.214207402
