iter	Passed	Remaining
0	2	981
1	4	957
2	5	934
3	7	940
4	10	1029
5	12	1008
6	15	1064
7	17	1045
8	19	1025
9	21	1016
10	23	1004
11	25	995
12	28	1021
13	30	1012
14	32	1003
15	34	993
16	36	985
17	38	980
18	40	976
19	42	955
20	43	937
21	44	919
22	46	904
23	47	887
24	48	868
25	49	850
26	50	834
27	51	818
28	52	804
29	53	791
30	54	779
31	55	765
32	56	754
33	57	741
34	58	730
35	58	719
36	59	706
37	60	695
38	61	684
39	61	673
40	62	663
41	63	654
42	64	646
43	65	638
44	65	628
45	66	620
46	67	612
47	67	603
48	68	595
49	69	587
50	69	580
51	70	572
52	71	565
53	71	558
54	72	551
55	72	543
56	73	537
57	73	530
58	74	524
59	74	518
60	75	512
61	76	506
62	76	500
63	77	495
64	77	491
65	78	486
66	79	481
67	79	476
68	80	471
69	80	467
70	81	462
71	81	458
72	82	453
73	82	449
74	83	445
75	84	441
76	84	437
77	85	433
78	85	429
79	86	425
80	86	422
81	87	419
82	88	415
83	88	412
84	89	409
85	89	405
86	90	402
87	90	399
88	91	396
89	91	393
90	92	390
91	93	387
92	93	384
93	94	382
94	94	379
95	95	376
96	95	373
97	96	371
98	97	368
99	97	365
100	98	363
101	98	361
102	99	358
103	99	356
104	100	353
105	101	351
106	101	349
107	102	347
108	102	345
109	103	342
110	103	340
111	104	338
112	104	336
113	105	334
114	106	332
115	106	330
116	107	327
117	107	325
118	108	323
119	108	321
120	109	320
121	109	318
122	110	316
123	111	314
124	111	312
125	112	310
126	112	308
127	113	307
128	113	305
129	114	303
130	114	301
131	115	300
132	116	298
133	116	297
134	117	295
135	117	293
136	118	292
137	119	290
138	119	289
139	120	287
140	120	286
141	121	284
142	121	283
143	122	281
144	122	279
145	123	278
146	124	276
147	124	275
148	125	274
149	125	272
150	126	271
151	126	269
152	127	268
153	127	266
154	128	265
155	129	264
156	129	263
157	130	261
158	130	260
159	131	258
160	132	257
161	132	256
162	133	254
163	133	253
164	134	252
165	134	251
166	135	249
167	136	248
168	136	247
169	137	246
170	137	244
171	138	243
172	138	242
173	139	240
174	139	239
175	140	238
176	141	237
177	141	236
178	142	235
179	142	233
180	143	232
181	143	231
182	144	230
183	145	229
184	145	228
185	146	227
186	146	225
187	147	224
188	147	223
189	148	222
190	148	221
191	149	220
192	149	219
193	150	218
194	151	216
